Account_Code,Description,Category,Period,Budget_GBP
6700,Professional Fees,OPEX_Variable,FY25-08,-7500
6700,Professional Fees,OPEX_Variable,FY25-09,-7500
6700,Professional Fees,OPEX_Variable,FY25-10,-7500
6700,Professional Fees,OPEX_Variable,FY25-11,-7500
6700,Professional Fees,OPEX_Variable,FY25-12,-7500
7000,Depreciation,Non-Cash,FY25-01,-42000
7000,Depreciation,Non-Cash,FY25-02,-42000
7000,Depreciation,Non-Cash,FY25-03,-42000
7000,Depreciation,Non-Cash,FY25-04,-42000
7000,Depreciation,Non-Cash,FY25-05,-42000
7000,Depreciation,Non-Cash,FY25-06,-42000
7000,Depreciation,Non-Cash,FY25-07,-42000
7000,Depreciation,Non-Cash,FY25-08,-42000
7000,Depreciation,Non-Cash,FY25-09,-42000
7000,Depreciation,Non-Cash,FY25-10,-42000
7000,Depreciation,Non-Cash,FY25-11,-42000
7000,Depreciation,Non-Cash,FY25-12,-42000
7100,Bank Interest,Finance,FY25-01,-8500
7100,Bank Interest,Finance,FY25-02,-8500
7100,Bank Interest,Finance,FY25-03,-8500
7100,Bank Interest,Finance,FY25-04,-8500
7100,Bank Interest,Finance,FY25-05,-8500
7100,Bank Interest,Finance,FY25-06,-8500
7100,Bank Interest,Finance,FY25-07,-8500
7100,Bank Interest,Finance,FY25-08,-8500
7100,Bank Interest,Finance,FY25-09,-8500
7100,Bank Interest,Finance,FY25-10,-8500
7100,Bank Interest,Finance,FY25-11,-8500
7100,Bank Interest,Finance,FY25-12,-8500
